year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Hamilton,"Schultz, Andy",Prelim,256.57,4:16.57
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Middlebury,"Graf, Justin",Prelim,265.47,4:25.47
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Trinity,"Rorer, Chris K",Final,260.39,4:20.39
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Tufts,"Duckworth, Tyler",Final,251.38,4:11.38
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Wesleyan,"Moya, Joaquin",Prelim,272.64,4:32.64
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Williams,"Doob, Ben",Final,240.36,4:00.36&
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Amherst,"Winograd, Rob",Final,270.16,4:30.16
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Bates,"Bear, David",Final,285.67,4:45.67
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Bowdoin,"Harden, Dave",Prelim,309.2,5:09.20
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Colby,"Bucklin, Matt",Prelim,329.41,5:29.41
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Hamilton,"Schultz, Andy",Final,288.49,4:48.49
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Middlebury,"Whittington, Karl",Prelim,285.96,4:45.96
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Trinity,"Bares, Ryan D",Prelim,319.06,5:19.06
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Tufts,"Baron, Seth",Final,286.34000000000003,4:46.34
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Wesleyan,"Barlow, Rob",Prelim,288.1,4:48.10
2002,500_Freestyle,Freestyle,Men,500,2002_Nescac_Msd_Results,Williams,"Doob, Ben",Prelim,272.7,4:32.70
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Amherst,"Lang, Russell",Final,25.02,25.02
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Bates,"Legault, Craig",Final,25.7,25.70
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Bowdoin,"Shaw, Andy",Final,26.1,26.10
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Colby,"Goodman, Al",Final,26.0,26.00
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Connecticut College,"Merrill, Landon",Final,27.54,27.54
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Hamilton,"Rapp, Erik",Final,26.02,26.02
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Middlebury,"Strickler, Scott",Final,24.52,24.52
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Trinity,"DeRosa, Matt J",Final,26.42,26.42
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Tufts,"Lahey, Ryan",Final,25.6,25.60
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Wesleyan,"Smith, Ian",Prelim,25.39,25.39
2002,50_Backstroke,Backstroke,Men,50,2002_Nescac_Msd_Results,Williams,"Hobart, Travis",Final,26.57,26.57
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Amherst,"Malowitz, Jon",Final,31.06,31.06
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Bates,"Hseng, Sao Ohn",Prelim,27.77,27.77
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Bowdoin,"Driskill, Nick",Final,26.54,26.54
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Colby,"Cole, John",Prelim,29.14,29.14
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Connecticut College,"Garner, Josh",Final,28.06,28.06
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Hamilton,"Chung, Tae",Final,27.98,27.98
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Middlebury,"Malloy, Mike",Final,27.43,27.43
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Trinity,"Rorer, Chris K",Final,27.97,27.97
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Tufts,"Rochette, Mike",Final,27.33,27.33
2002,50_Breaststroke,Breaststroke,Men,50,2002_Nescac_Msd_Results,Williams,"Gansner, Elliot",Final,26.46,26.46
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Amherst,"Sunderland, Jeff",Final,24.04,24.04
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Bates,"Bowden, Adam",Final,23.69,23.69
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Bowdoin,"Anson, Robie",Final,23.66,23.66
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Colby,"Battista, Nick",Final,24.17,24.17
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Connecticut College,"Longmire, Andrew",Prelim,25.36,25.36
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Hamilton,"Baker, Jim",Final,24.32,24.32
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Middlebury,"Stuntz, Grayson",Prelim,23.2,23.20
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Trinity,"Hammond, Jesse C",Final,24.34,24.34
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Tufts,"Ely, Andrew",Final,24.02,24.02
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Wesleyan,"Cleveland, Tom",Final,24.24,24.24
2002,50_Butterfly,Butterfly,Men,50,2002_Nescac_Msd_Results,Williams,"Krissoff, Nate",Final,23.47,23.47
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Amherst,"Kennedy, Pat",Prelim,21.21,21.21
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Bates,"Bretl, Todd",Final,22.18,22.18
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Bowdoin,"Long, Mike",Final,21.87,21.87
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Colby,"Walendziak, Nick",Final,20.93,20.93&
